"","fragment.ID2","treatment","rate.type","meanTopt","seTopt","meanE","seE","meanTh_C","seTh_C","meanEh","seEh","meanlnc","selnc"
"1","MA","deep","GP",30.2438487438052,0.95641228316185,0.173666830899162,0.0281160134636816,34.7164082138267,0.428105196153568,4.04355230726663,0.578844752044934,1.02853147332449,0.090214874661651
"2","MA","deep","R",21.818879925388,12.851158911125,0.866640042925162,0.760159849742029,21.7517519846727,17.5156650170095,3.36697022066678,1.84570475959097,2.830667813284,2.46224769787824
"3","MC","deep","GP",31.7615817466646,1.89276298980906,0.16272574612717,0.0932396705101433,34.8197217663422,0.877586522844104,38.7186539923671,35.5571819707406,0.999824445566135,0.1122382029668
"4","MC","deep","R",27.5145449868725,8.52624174328038,1.3433268198499,1.25945114859753,27.3976798049315,9.40803323613743,47.4897989691091,24.5033456611933,3.55405555949537,3.17731584139474
"5","MF","deep","GP",29.6171982194975,0.28191069037604,0.390617731528794,0.0570489347019347,32.3199752858129,0.60184826429872,3.21425125779723,0.398078656339698,1.35090788791997,0.0608205455846215
"6","MF","deep","R",29.8915110598853,6.81472094853072,0.638262946400536,0.522400213572841,27.8146239919188,9.65145669325704,29.0105979434114,27.6910034075652,1.42645042163622,0.92447186131394
"7","ML","deep","GP",31.0533815923267,0.14430547181621,0.198167334000764,0.0215041060314544,34.738850384562,0.0194514975094364,4.8060671752922,0.747592402613458,1.21722761739411,0.013511877307112
"8","ML","deep","R",27.5093914940013,8.27661305527633,35.3925127111058,35.2839324046115,29.6918475356001,10.5636104697005,38.00624682174,32.5638592368346,37.2490916818643,36.72578163925
"9","SA","shallow","GP",26.9253807780958,2.41461876454474,0.864096564513922,0.463812986133997,27.452795223796,4.45478328097235,2.26840021560038,0.0202771546492202,1.78619391062191,0.588054490642461
"10","SA","shallow","R",18.4619170348476,0.800609958220157,49.2567969296814,29.9774602931789,17.6257298158199,1.50553453755266,49.2020279898714,29.9561133917333,52.3993147762329,30.7599460948439
"11","SC","shallow","GP",31.2705016882697,0.422749914017015,0.157166124640265,0.0766733367413406,35.2854685765698,0.730065946307939,5.2632150309185,0.982142938171157,0.914274865282509,0.037206424630977
"12","SC","shallow","R",24.3343343368097,5.66573814346183,13.3259636349725,10.1536903855984,26.1919331650307,8.21646675801828,13.7479290248737,9.83785017441426,15.5225828698269,11.2801695088367
"13","SF","shallow","GP",28.9162926383142,0.938759636691007,0.525242962000617,0.292333982664799,31.4423515897245,2.40383856914215,3.37476477225254,0.453559739570448,1.46548817371129,0.219769104820131
"14","SF","shallow","R",28.9989888023188,5.97991215215355,1.20951079389762,1.08899542168862,30.6628147689401,7.9491592826566,5.86993177490995,1.58604172570586,2.32855096872087,1.79238832363361
"15","SL","shallow","GP",29.3464545520013,1.13172798171485,0.522022149920831,0.19386972867749,31.4184277196254,2.17542527841469,3.18817189387466,0.393150477051558,1.54443039558507,0.183988214461067
"16","SL","shallow","R",22.8056066464539,3.75973277921152,30.9816295298659,15.3800376867855,21.2224471564248,2.33826318816021,31.0200324386671,15.2281303339206,33.7829798205656,16.3413796271995
