"","species","treatment","fragment.ID2","rate.type","mean","se"
"1","DLAB","deep","ML","GP",1.20879446416943,0.0331879470910341
"2","DLAB","deep","ML","R",0.340211421020962,0.249637653212073
"3","DLAB","shallow","SL","GP",1.26426800659923,0.0206128592676591
"4","DLAB","shallow","SL","R",0.289548328330781,0.138269960269209
"5","MCAV","deep","MC","GP",0.981623059169253,0.0867344645390803
"6","MCAV","deep","MC","R",0.153889273390424,0.189370029424096
"7","MCAV","shallow","SC","GP",0.893694619336142,0.0202203997974999
"8","MCAV","shallow","SC","R",0.0826585801951865,0.124528149841503
"9","OFRA","deep","MF","GP",1.18131526405629,0.0429605976776412
"10","OFRA","deep","MF","R",0.586125900628174,0.0504219711830388
"11","OFRA","shallow","SF","GP",1.17151010974772,0.0206902344714074
"12","OFRA","shallow","SF","R",0.435392516432716,0.174445201596111
"13","PAST","deep","MA","GP",0.996174910878165,0.0954582151013126
"14","PAST","deep","MA","R",0.164097625646365,0.252829729998117
"15","PAST","shallow","SA","GP",0.960715444834942,0.0376333045978275
"16","PAST","shallow","SA","R",0.0709438566485743,0.062949735013733
