"","fragment.ID2","species","genotype","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C","Th_C"
"1","MA","PAST","MA1","GP","deep",0.225481249599786,5.09786877247313,1.1442917122575,307.903198673315,304.544435963782,31.3944359637821,34.7531986733155
"2","MA","PAST","MA1","R","deep",1.62679933784907,1.52126491895242,5.29291411494149,277.386085621015,282.117721405292,8.96772140529208,4.23608562101452
"3","MA","PAST","MA2","GP","deep",0.166679983467876,3.93051513500046,0.850793749559313,308.58882805242,304.141916380925,30.9919163809253,35.4388280524203
"4","MA","PAST","MA2","R","deep",0.106480193531496,5.21267510654357,0.368420115092518,312.417416948885,307.820038862164,34.6700388621636,39.2674169488845
"5","MA","PAST","MA3","GP","deep",0.128839277349515,3.10227289779388,1.09050897163639,307.107197746005,301.49519399148,28.3451939914802,33.9571977460048
"6","MA","PAST","MA3","R","deep",0.0948459594522718,3.42607802672422e-08,1.13304955483998,234.478126423778,-2.51018586354552e-05,-273.150025101859,-38.6718735762217
"7","MC","MCAV","MC1","GP","deep",0.123157876594449,3.42511779269376,0.944865266382555,308.370519362725,302.903989051073,29.7539890510735,35.2205193627252
"8","MC","MCAV","MC1","R","deep",44.947263548383,44.9568452071936,48.5699102251791,292.049604074989,292.213201065756,19.0632010657563,18.899604074989
"9","MC","MCAV","MC2","GP","deep",0.0246911280663285,111.569373372541,0.838818334919325,309.249296306975,308.70230789967,35.5523078996702,36.0992963069753
"10","MC","MCAV","MC2","R","deep",0.127133200510807,88.6525178083451,0.378809027243929,309.480547315253,308.964801337318,35.8148013373179,36.3305473152527
"11","MC","MCAV","MC3","GP","deep",0.34032823585674,2.8984762962322,1.21578973400942,306.289459715838,303.136019607543,29.986019607543,33.1394597158376
"12","MC","MCAV","MC3","R","deep",3.86178467953964,3.76633937307228,9.908709208868,281.73963169842,283.614188243452,10.4641882434518,8.58963169842031
"13","MF","OFRA","MF1","GP","deep",0.280205860480021,3.98504284115341,1.26508055412604,306.608348188084,303.279899845709,30.1298998457091,33.458348188084
"14","MF","OFRA","MF1","R","deep",0.165062128241907,4.9009574435774e-09,1.25996858458723,248.040206735698,-3.10137513776097e-06,-273.150003101375,-25.1097932643024
"15","MF","OFRA","MF2","GP","deep",0.420910686144616,2.65619946041308,1.31917125445193,305.239528148942,302.71400668455,29.5640066845503,32.0895281489421
"16","MF","OFRA","MF2","R","deep",0.115862735745243,55.7415365825759,0.501978560450141,310.621330570305,309.850936462219,36.7009364622186,37.471330570305
"17","MF","OFRA","MF3","GP","deep",0.470736656114973,3.00151148868023,1.46847185632321,304.562049507397,302.307688164796,29.157688164796,31.4120495073967
"18","MF","OFRA","MF3","R","deep",1.16066328488387,1.31959462816858,2.35092251532437,291.313166324147,296.226788969975,23.0767889699751,18.1631663241468
"19","ML","DLAB","ML1","GP","deep",0,5.7490301832065,1.22179981467001,308.49089272077,0,-273.15,35.3408927207703
"20","ML","DLAB","ML1","R","deep",38.7691733443477,38.6628341916766,42.174106632943,292.009342918877,292.200100543434,19.050100543434,18.8593429188772
"21","ML","DLAB","ML2","GP","deep",0.176663230627333,5.55365954577927,1.23073949606017,307.908301867049,304.347687059055,31.197687059055,34.7583018670492
"22","ML","DLAB","ML2","R","deep",0.0538939198404751,7.81466489909763e-08,1.16614715167555,2830.17512671381,-6.27649802266636e-05,-273.15006276498,2557.02512671381
"23","ML","DLAB","ML3","GP","deep",0.219671438823514,4.0584747977995,1.20371573892569,307.869398901894,304.059076135321,30.9090761353208,34.719398901894
"24","ML","DLAB","ML3","R","deep",0.108580307002245,5.44238718737677,0.52331004289219,313.405458253151,308.93600458579,35.78600458579,40.2554582531509
"25","SA","PAST","SA1","GP","shallow",0,5.59067726295994,1.06828373234836,308.660876529208,0,-273.15,35.5108765292076
"26","SA","PAST","SA1","R","shallow",3.26289429526197,3.23047249373468,5.91446642309329,287.764842658456,290.013966191396,16.8639661913955,14.6148426584559
"27","SA","PAST","SA2","GP","shallow",0.400283590436237,2.24812306011185,1.19813942960731,305.057578386909,302.489999532788,29.3399995327875,31.9075783869094
"28","SA","PAST","SA2","R","shallow",32.7204210482589,32.6199812268594,36.9172992621253,291.699179453307,291.924895808604,18.7748958086043,18.5491794533075
"29","SA","PAST","SA3","GP","shallow",1.32790954534338,2.28867736765682,2.37424839403933,296.148011972074,297.660762035273,24.5107620352732,22.9980119720737
"30","SA","PAST","SA3","R","shallow",30.7496447022677,30.7182034661515,32.7536462285376,292.188276866584,292.428291482664,19.278291482664,19.0382768665844
"31","SC","MCAV","SC1","GP","shallow",0.0754265935427895,6.17094684942394,0.923817305322771,308.904891194715,304.432721890086,31.282721890086,35.7548911947148
"32","SC","MCAV","SC1","R","shallow",19.2861077389873,19.2120524271418,23.5968856492331,291.030657393962,291.412644104708,18.2626441047085,17.8806573939621
"33","SC","MCAV","SC2","GP","shallow",0.0856731429502104,6.31793494766738,0.84559229947245,309.398137981059,305.146539459922,31.9965394599221,36.248137981059
"34","SC","MCAV","SC2","R","shallow",6.52268419653146,6.42969956381265,8.58898973514959,290.575327006586,291.728102984449,18.5781029844492,17.4253270065864
"35","SC","MCAV","SC3","GP","shallow",0.310398641122134,3.30076324248016,0.973414990010856,307.00337656282,303.682243767858,30.5322437678579,33.8533765628204
"36","SC","MCAV","SC3","R","shallow",0.157184102033047,1.58988557949367,0.397160639851207,315.762301350725,308.815326146377,35.6653261463769,42.6123013507254
"37","SF","OFRA","SF1","GP","shallow",1.08550650955509,2.53655311792231,1.89925427526032,299.852594710271,300.315420024648,27.1654200246482,26.7025947102705
"38","SF","OFRA","SF1","R","shallow",3.38715684793623,3.27982100744617,5.91330892527828,287.933576932978,290.200371213409,17.0503712134089,14.7835769329782
"39","SF","OFRA","SF2","GP","shallow",0.389873272505742,3.49353710030987,1.31009188206932,306.264842657353,303.52879193734,30.3787919373399,33.1148426573531
"40","SF","OFRA","SF2","R","shallow",0.154248658538458,5.57908679562789,0.546198301096483,312.426788530198,308.571573731379,35.4215737313787,39.2767885301978
"41","SF","OFRA","SF3","GP","shallow",0.100349124770713,4.09420410909244,1.18711838557028,307.659617289315,302.35466591232,29.2046659123198,34.5096172893146
"42","SF","OFRA","SF3","R","shallow",0.0871268777527501,8.75088629577221,0.526145685216038,311.078079048924,307.6750213353,34.5250213353003,37.9280790489241
"43","SL","DLAB","SL1","GP","shallow",0.907724349301571,2.42686738648704,1.91230021528175,300.218775683734,300.271877328263,27.1218773282633,27.0687756837337
"44","SL","DLAB","SL1","R","shallow",58.2930611705462,58.187924742168,61.5480236458204,292.22791422718,292.354705531923,19.2047055319229,19.0779142271803
"45","SL","DLAB","SL2","GP","shallow",0.363547966533085,3.73915757712772,1.35282514325643,306.831688482855,303.970498292472,30.8204982924717,33.6816884828547
"46","SL","DLAB","SL2","R","shallow",0.531205260577032,0.878353082269677,1.31336783728971,299.046496207786,303.473824429384,30.3238244293835,25.896496207786
"47","SL","DLAB","SL3","GP","shallow",0.294794125898353,3.39849069591587,1.36816582436678,306.654819015476,303.246988022214,30.0969880222143,33.5048190154763
"48","SL","DLAB","SL3","R","shallow",41.2249871780306,41.0981845846849,45.5437827124002,291.889877866355,292.069237750138,18.9192377501377,18.7398778663546
