"","fragment.ID2","genotype","rate.type","treatment","E","Eh","lnc","Th","topt","topt_C","Th_C"
"1","MA","MA1","GP","deep",0.225481251577756,5.09786877560065,1.14429171290986,307.903198665939,304.544435971399,31.394435971399,34.7531986659392
"2","MA","MA2","GP","deep",0.166679979874003,3.93051522609671,0.850793746226277,308.588828095538,304.141916433629,30.9919164336295,35.4388280955376
"3","MA","MA3","GP","deep",0.128839261245728,3.10227292010253,1.09050896083733,307.107197880003,301.495193826387,28.3451938263871,33.9571978800033
"4","MC","MC1","GP","deep",0.123157875605675,3.42511777121433,0.944865266869779,308.370519362015,302.903989012657,29.7539890126571,35.2205193620155
"5","MC","MC2","GP","deep",0.0246911267521717,109.832367918613,0.838818334864106,309.249186232699,308.694736630942,35.5447366309422,36.0991862326992
"6","MC","MC3","GP","deep",0.340328236023663,2.89847628727414,1.21578973496452,306.289459704312,303.136019596394,29.9860195963944,33.139459704312
"7","MF","MF1","GP","deep",0.280205860353362,3.98504284499366,1.265080553809,306.608348190879,303.2798998488,30.1298998487997,33.4583481908789
"8","MF","MF2","GP","deep",0.420910680954034,2.65619945726595,1.31917125132446,305.239528182156,302.7140066811,29.5640066811004,32.0895281821558
"9","MF","MF3","GP","deep",0.470736653278985,3.00151147113209,1.46847185862645,304.562049484404,302.307688128592,29.1576881285924,31.412049484404
"10","ML","ML2","GP","deep",0.17666322796931,5.55365957790566,1.23073949470122,307.908301882071,304.347687064143,31.1976870641429,34.7583018820714
"11","ML","ML3","GP","deep",0.219671440032219,4.05847477267874,1.203715740087,307.869398887053,304.05907612051,30.9090761205105,34.7193988870525
"12","SA","SA2","GP","shallow",0.400283578379925,2.24812306095116,1.19813941997945,305.057578504768,302.48999954264,29.3399995426405,31.9075785047683
"13","SA","SA3","GP","shallow",1.32790955064792,2.28867737024961,2.37424840126438,296.148011942824,297.660762013551,24.510762013551,22.9980119428236
"14","SC","SC1","GP","shallow",0.0754265942953246,6.170946837576,0.923817305503913,308.904891192652,304.432721895022,31.2827218950222,35.7548911926519
"15","SC","SC2","GP","shallow",0.0856731353725098,6.31793504771002,0.845592296590923,309.398138019797,305.146539431516,31.9965394315162,36.2481380197974
"16","SC","SC3","GP","shallow",0.310398644252961,3.30076320746947,0.973414993752693,307.00337651726,303.682243738271,30.5322437382707,33.8533765172602
"17","SF","SF1","GP","shallow",1.08550648729685,2.53655311334921,1.89925425181673,299.852594844552,300.31542010286,27.1654201028601,26.7025948445522
"18","SF","SF2","GP","shallow",0.389873276323539,3.49353708170263,1.31009188456535,306.264842625939,303.52879192641,30.3787919264105,33.1148426259395
"19","SF","SF3","GP","shallow",0.100349122381463,4.09420412170577,1.1871183847518,307.659617298682,302.354665885672,29.2046658856721,34.5096172986819
"20","SL","SL1","GP","shallow",0.907724353387473,2.42686739065839,1.91230021868246,300.218775668533,300.271877321877,27.1218773218771,27.0687756685334
"21","SL","SL2","GP","shallow",0.36354797028917,3.73915759156598,1.35282514359808,306.831688476586,303.970498311047,30.8204983110473,33.6816884765864
"22","SL","SL3","GP","shallow",0.294794126085849,3.3984906993996,1.36816582447468,306.654819013756,303.246988023079,30.0969880230795,33.5048190137564
"23","MA","MA1","R","deep",1.62679989266719,1.52126546107581,5.29291551116224,277.386086967663,282.117721014263,8.96772101426302,4.23608696766325
"24","MA","MA2","R","deep",0.106480193183132,5.21267498025776,0.368420115405751,312.417417001682,307.820038836513,34.670038836513,39.2674170016822
"25","MC","MC1","R","deep",0.0411078475256525,50.1830046096589,0.374670858164143,310.422477412882,309.414874490297,36.2648744902973,37.2724774128825
"26","MC","MC2","R","deep",0.127133197729912,88.5200982100874,0.378809027169975,309.481097388909,308.964718296951,35.8147182969512,36.3310973889089
"27","MC","MC3","R","deep",3.86173941429412,3.76629408758103,9.90868679315199,281.739464613003,283.614042173369,10.464042173369,8.58946461300303
"28","MF","MF2","R","deep",0.115862732827695,56.7016013509766,0.50197856032228,310.616080685176,309.856232008416,36.706232008416,37.4660806851758
"29","MF","MF3","R","deep",1.16066315997338,1.31959453584622,2.35092228295016,291.313167298662,296.226790111355,23.0767901113546,18.1631672986617
"30","ML","ML1","R","deep",70.6764451157172,70.5701060585746,73.9748733211143,292.2782370659,292.382778438725,19.232778438725,19.1282370658996
"31","ML","ML3","R","deep",0.10858030649433,5.4423875849054,0.523310042614203,313.405458005301,308.936004549278,35.7860045492777,40.2554580053006
"32","SA","SA1","R","shallow",3.26289519014758,3.2304733810608,5.91446741225776,287.76484371939,290.013966645449,16.8639666454491,14.6148437193897
"33","SA","SA2","R","shallow",105.560881104011,105.460441404931,110.540048953631,292.252425393985,292.32232118253,19.1723211825299,19.1024253939848
"34","SA","SA3","R","shallow",38.9466144948851,38.9151691836225,40.7434279628103,292.309920334085,292.499463276564,19.3494632765639,19.1599203340852
"35","SC","SC1","R","shallow",33.2980238315925,33.2242031789193,37.5815995218235,291.688171282491,291.909573856789,18.7595738567889,18.5381712824911
"36","SC","SC2","R","shallow",6.52268297177626,6.42969834480277,8.58898844727788,290.575326712377,291.728102909402,18.5781029094024,17.4253267123775
"37","SC","SC3","R","shallow",0.157184101548745,1.58988555089901,0.397160640379145,315.762301500223,308.815326244238,35.6653262442376,42.6123015002234
"38","SF","SF1","R","shallow",3.38715684778645,3.27982100734641,5.91330892079884,287.933576942591,290.200371223213,17.0503712232126,14.783576942591
"39","SF","SF2","R","shallow",0.154248657333842,5.5790868699429,0.546198300808718,312.42678851736,308.571573738489,35.4215737384891,39.2767885173596
"40","SF","SF3","R","shallow",0.0871268765725772,8.75088744744054,0.526145684555045,311.07807884687,307.675021445255,34.5250214452547,37.9280788468698
"41","SL","SL1","R","shallow",49.9771772503267,49.8720408457732,53.2450604793851,292.167366050384,292.31529289315,19.1652928931504,19.0173660503836
"42","SL","SL2","R","shallow",0.531205411479755,0.878353139563362,1.31336814898579,299.046491202115,303.473820959317,30.3238209593171,25.8964912021149
"43","SL","SL3","R","shallow",42.4365059277914,42.3097033306647,46.7905108333259,291.903484216776,292.077706086894,18.9277060868942,18.7534842167758
